Model,TP,FN,FP,TN
M6-A1-B9-C2,144,856,7,993
M1-A1-B1-C1,420,580,294,706
M2-A2-B2-C2,989,11,965,35
M3-A3-B3-C3,490,510,328,672
M3-A4-B1-C3,382,618,269,731
M3-A3-B4-C4,866,134,421,579
M2-A5-B5-C5,938,62,937,63
M4-A6-B3-C6,453,547,213,787
M5-A7-B1-C7,878,122,344,656
M2-A8-B4-C8,956,44,793,207
M6-A7-B5-C7,663,337,398,602
M7-A1-B6-C9,695,305,538,462
M2-A7-B7-C10,986,14,886,114
M4-A6-B8-C2,854,146,510,490
M8-A7-B9-C4,997,3,997,3
M9-A8-B10-C5,498,502,292,708
M2-A9-B6-C7,991,9,978,22
M6-A9-B11-C1,991,9,986,14
M7-A1-B4-C10,976,24,913,87
M10-A7-B6-C4,486,514,262,738
M8-A6-B5-C6,655,345,653,347
M7-A4-B5-C6,896,104,786,214
M11-A6-B2-C3,827,173,500,500
M12-A1-B5-C5,950,50,914,86
M5-A5-B5-C7,970,30,967,33
M12-A3-B10-C1,442,558,398,602
M6-A7-B6-C7,762,238,321,679
M7-A10-B4-C4,814,186,469,531
M2-A8-B2-C8,909,91,749,251
M10-A1-B11-C11,274,726,77,923
M6-A9-B10-C11,783,217,398,602
M4-A5-B9-C3,878,122,83,917
M9-A1-B6-C7,790,210,85,915
M3-A4-B10-C8,842,158,76,924
M11-A6-B7-C2,772,228,21,979
M12-A1-B11-C10,269,731,228,772
M13-A10-B4-C12,855,145,813,187
M7-A3-B9-C8,696,304,503,497
M11-A5-B8-C5,830,170,340,660
M11-A2-B8-C8,353,647,217,783
M11-A3-B5-C6,870,130,561,439
M12-A1-B7-C1,42,958,40,960
M7-A4-B3-C3,628,372,169,831
M9-A10-B5-C8,534,466,427,573
M4-A1-B5-C11,237,763,164,836
M5-A1-B11-C10,678,322,93,907
M7-A6-B3-C9,744,256,685,315
M10-A7-B9-C11,841,159,305,695
M11-A8-B5-C4,568,432,409,591
M6-A8-B8-C7,637,363,73,927
M4-A11-B7-C10,750,250,154,846
M7-A7-B11-C7,943,57,374,626
M2-A4-B7-C6,354,646,43,957
M10-A7-B5-C9,964,36,341,659
M4-A9-B5-C12,896,104,805,195
M11-A4-B10-C9,649,351,648,352
M2-A3-B6-C8,682,318,557,443
M12-A8-B8-C2,709,291,66,934
M10-A3-B8-C5,994,6,978,22
M5-A10-B11-C7,857,143,241,759
M11-A1-B8-C4,712,288,530,470
M4-A1-B6-C6,845,155,821,179
M10-A8-B3-C4,347,653,65,935
M3-A5-B3-C3,608,392,68,932
M13-A8-B8-C3,602,398,381,619
M2-A3-B8-C4,560,440,522,478
M2-A3-B1-C4,928,72,576,424
M10-A1-B7-C8,753,247,160,840
M7-A11-B2-C10,537,463,445,555
M10-A10-B1-C7,627,373,188,812
M12-A2-B4-C8,396,604,232,768
M7-A10-B6-C6,992,8,983,17
M5-A2-B2-C3,913,87,869,131
M10-A5-B9-C5,647,353,535,465
M8-A8-B10-C11,844,156,774,226
M12-A5-B9-C1,486,514,392,608
M12-A1-B5-C6,995,5,948,52
M5-A5-B5-C4,604,396,404,596
M12-A9-B5-C1,763,237,599,401
M8-A2-B2-C5,763,237,227,773
M9-A2-B1-C2,704,296,100,900
M4-A9-B8-C3,975,25,905,95
M3-A9-B7-C9,980,20,890,110
M12-A9-B4-C12,86,914,61,939
M12-A2-B3-C11,521,479,403,597
M5-A2-B3-C12,771,229,754,246
M9-A8-B4-C5,613,387,330,670
M3-A4-B3-C1,647,353,499,501
M13-A5-B6-C10,866,134,782,218
M12-A3-B9-C4,972,28,413,587
M5-A3-B8-C10,500,500,377,623
M9-A7-B5-C2,445,555,96,904
M12-A11-B6-C9,950,50,820,180
M7-A11-B6-C9,632,368,379,621
M10-A4-B6-C9,751,249,367,633
M1-A4-B1-C5,766,234,164,836
M3-A3-B10-C6,891,109,708,292
M8-A3-B5-C11,901,99,813,187
M13-A3-B4-C8,975,25,471,529
M5-A4-B10-C4,958,42,927,73
M13-A11-B3-C3,413,587,411,589
M13-A11-B4-C5,933,67,831,169
M13-A6-B8-C4,875,125,677,323
M9-A3-B4-C4,963,37,945,55
M11-A2-B3-C12,901,99,103,897
M5-A7-B6-C10,663,337,274,726
M8-A5-B6-C11,861,139,311,689
M3-A9-B8-C1,679,321,395,605
M12-A10-B9-C5,717,283,102,898
M10-A9-B3-C4,790,210,712,288
M2-A9-B3-C7,763,237,523,477
M10-A8-B5-C3,258,742,190,810
M12-A1-B10-C2,452,548,259,741
M6-A7-B11-C12,985,15,540,460
M10-A3-B9-C1,751,249,642,358
M5-A9-B8-C1,909,91,846,154
M1-A2-B10-C8,312,688,118,882
M6-A2-B2-C1,749,251,4,996
M1-A1-B10-C5,709,291,129,871
M11-A2-B2-C5,865,135,748,252
M8-A10-B3-C7,932,68,507,493
M12-A10-B1-C11,491,509,48,952
M7-A8-B5-C10,686,314,509,491
M8-A5-B1-C8,514,486,456,544
M5-A7-B9-C8,785,215,218,782
M10-A6-B7-C12,331,669,130,870
M12-A9-B9-C6,669,331,337,663
M10-A11-B8-C9,980,20,798,202
M9-A8-B3-C6,463,537,302,698
M2-A8-B5-C7,849,151,827,173
M7-A1-B3-C11,998,2,998,2
M9-A8-B2-C3,809,191,680,320
M10-A2-B11-C4,731,269,74,926
M5-A5-B2-C2,768,232,746,254
M2-A7-B11-C6,717,283,148,852
M7-A6-B8-C8,622,378,356,644
M4-A8-B1-C9,900,100,68,932
M5-A6-B8-C12,974,26,970,30
M7-A4-B9-C6,450,550,144,856
M4-A10-B6-C1,768,232,704,296
M4-A10-B3-C2,615,385,249,751
M1-A9-B1-C10,995,5,904,96
M9-A8-B7-C8,994,6,994,6
M7-A6-B9-C12,887,113,626,374
M6-A3-B3-C8,992,8,453,547
M7-A5-B2-C8,745,255,88,912
M2-A5-B3-C1,841,159,353,647
M13-A3-B9-C8,766,234,257,743
M11-A9-B7-C5,918,82,542,458
M4-A8-B7-C5,922,78,857,143
M7-A8-B5-C6,751,249,577,423
M8-A11-B1-C7,593,407,54,946
M5-A2-B10-C10,943,57,806,194
M7-A11-B2-C3,909,91,694,306
M5-A6-B6-C4,773,227,383,617
M3-A6-B8-C4,883,117,408,592
M13-A3-B3-C3,828,172,560,440
M7-A2-B1-C9,861,139,353,647
M1-A6-B7-C8,960,40,957,43
M6-A9-B8-C12,697,303,291,709
M12-A5-B6-C3,470,530,362,638
M7-A9-B3-C12,827,173,805,195
M11-A11-B2-C7,700,300,278,722
M2-A10-B7-C12,991,9,461,539
M8-A10-B7-C3,998,2,495,505
M3-A2-B4-C3,494,506,257,743
M3-A11-B2-C10,976,24,969,31
M7-A3-B5-C8,856,144,106,894
M1-A11-B3-C7,957,43,887,113
M11-A4-B9-C6,734,266,539,461
M9-A2-B8-C8,804,196,501,499
M9-A9-B7-C9,913,87,315,685
M13-A7-B2-C12,776,224,2,998
M4-A9-B1-C9,945,55,625,375
M3-A6-B11-C7,262,738,168,832
M13-A9-B2-C2,399,601,347,653
M3-A4-B2-C9,640,360,633,367
M8-A9-B9-C3,909,91,355,645
M10-A11-B9-C4,670,330,193,807
M4-A5-B9-C1,805,195,764,236
M6-A10-B9-C4,834,166,433,567
M2-A8-B4-C5,946,54,911,89
M4-A4-B4-C10,414,586,126,874
M6-A2-B8-C12,905,95,828,172
M10-A11-B6-C12,953,47,868,132
M12-A5-B4-C6,956,44,941,59
M13-A2-B2-C6,77,923,55,945
M12-A4-B4-C4,874,126,765,235
M5-A1-B7-C9,640,360,440,560
M6-A5-B5-C11,950,50,872,128
M7-A11-B9-C6,963,37,797,203
M9-A10-B4-C6,905,95,324,676
M7-A6-B3-C6,979,21,832,168
M3-A2-B7-C4,842,158,836,164
M12-A2-B8-C1,995,5,946,54
M13-A7-B9-C9,692,308,198,802
M2-A9-B5-C5,807,193,537,463
M5-A10-B3-C9,606,394,106,894
M12-A3-B8-C8,888,112,469,531
M7-A4-B11-C8,837,163,836,164
M13-A6-B1-C4,988,12,945,55
M4-A2-B5-C7,942,58,534,466
M13-A7-B11-C6,997,3,992,8
M11-A2-B3-C9,551,449,127,873
M13-A10-B4-C4,732,268,118,882
M4-A9-B11-C6,819,181,707,293
M6-A3-B2-C10,840,160,830,170
M2-A5-B8-C9,912,88,226,774
M11-A2-B10-C2,817,183,548,452
M11-A7-B7-C8,585,415,5,995
M4-A3-B10-C3,982,18,956,44
M4-A3-B10-C8,680,320,624,376
M5-A11-B9-C10,962,38,854,146
M5-A10-B5-C4,947,53,620,380
M7-A6-B6-C12,848,152,210,790
M7-A8-B9-C8,912,88,760,240
M11-A10-B6-C6,666,334,632,368
M11-A11-B10-C4,949,51,876,124
M6-A9-B2-C11,910,90,626,374
M2-A6-B1-C5,919,81,580,420
M8-A11-B5-C6,796,204,747,253
M4-A3-B8-C8,916,84,591,409
M6-A7-B7-C3,938,62,726,274
M2-A5-B2-C11,635,365,57,943
M9-A4-B8-C12,978,22,693,307
M13-A11-B4-C7,908,92,792,208
M10-A11-B7-C5,384,616,210,790
M4-A7-B4-C6,618,382,489,511
M8-A6-B11-C1,367,633,173,827
M12-A7-B8-C2,897,103,273,727
M8-A4-B5-C4,557,443,193,807
M8-A10-B2-C3,350,650,273,727
M1-A6-B6-C2,972,28,971,29
M9-A4-B3-C2,213,787,90,910
M5-A5-B7-C12,636,364,2,998
M5-A3-B5-C11,930,70,900,100
M10-A1-B11-C3,962,38,908,92
M8-A1-B7-C2,913,87,843,157
M7-A4-B6-C8,677,323,520,480
M12-A4-B3-C5,582,418,321,679
M8-A7-B1-C11,963,37,924,76
M5-A11-B4-C2,568,432,21,979
M4-A2-B11-C8,832,168,344,656
M3-A10-B6-C5,292,708,39,961
M1-A1-B10-C12,424,576,335,665
M2-A8-B9-C3,522,478,321,679
M9-A6-B3-C10,778,222,390,610
M10-A8-B3-C2,906,94,456,544
